fst,fst_adj,site_pair,siteA,siteB,REG,river,regtype,dist_km,regType
0.046152,0.111063,nfa_euchds.nfa_shic,nfa_euch,nfa_shic,U,nfa,unregulated,30.556760310399298,Unregulated
0.072402,0.131314,nfa_euchds.nfa_slar,nfa_euch,nfa_slar,U,nfa,unregulated,23.372532434386653,Unregulated
0.112096,0.144245,nfa_indc.nfa_pond,nfa_indc,nfa_pond,U,nfa,unregulated,9.441688798712873,Unregulated
0.05921,0.108057,nfa_indc.nfa_robr,nfa_indc,nfa_robr,U,nfa,unregulated,6.517388949708289,Unregulated
0.090708,0.164799,nfa_indc.nfa_saic,nfa_indc,nfa_saic,U,nfa,unregulated,56.528840385438116,Unregulated
0.043574,0.077332,nfa_indc.nfa_shic,nfa_indc,nfa_shic,U,nfa,unregulated,1.7678152532900973,Unregulated
0.069682,0.116977,nfa_indc.nfa_slar,nfa_indc,nfa_slar,U,nfa,unregulated,5.855644655801731,Unregulated
0.08741,0.138171,nfa_pond.nfa_robr,nfa_pond,nfa_robr,U,nfa,unregulated,15.764881549598242,Unregulated
0.14957,0.208865,nfa_pond.nfa_saic,nfa_pond,nfa_saic,U,nfa,unregulated,65.77633298532807,Unregulated
0.077561,0.117151,nfa_pond.nfa_shic,nfa_pond,nfa_shic,U,nfa,unregulated,7.673873545422776,Unregulated
0.116277,0.155827,nfa_pond.nfa_slar,nfa_pond,nfa_slar,U,nfa,unregulated,15.103137255691683,Unregulated
0.067115,0.155942,nfa_robr.nfa_saic,nfa_robr,nfa_saic,U,nfa,unregulated,50.248767028192916,Unregulated
0.052289,0.094057,nfa_robr.nfa_shic,nfa_robr,nfa_shic,U,nfa,unregulated,8.091008004175466,Unregulated
0.059847,0.096136,nfa_robr.nfa_slar,nfa_robr,nfa_slar,U,nfa,unregulated,0.9067801281628199,Unregulated
0.058667,0.148084,nfa_saic.nfa_shic,nfa_saic,nfa_shic,U,nfa,unregulated,58.102459439905296,Unregulated
0.100138,0.165461,nfa_saic.nfa_slar,nfa_saic,nfa_slar,U,nfa,unregulated,50.91823156389266,Unregulated
0.052777,0.106194,nfa_shic.nfa_slar,nfa_shic,nfa_slar,U,nfa,unregulated,7.4292637102689065,Unregulated
0.050645,0.125631,mfy_oregck.mfy_us_oh,mfy_oregck,mfy_us_oh,REG,mfy,bypass,NA,Bypass
0.086711,0.181063,mfy_oregck_flt.mfy_us_oh,mfy_oregck_flt,mfy_us_oh,REG,mfy,bypass,20.02161734532399,Bypass
0.126453,0.173507,nfy.nfy_slate,nfy,nfy_slate,U,nfy,bypass,44.095268434166826,Bypass
0.122407,0.156224,sfy.sfy_loga,sfy,sfy_loga,REG,sfy,bypass,16.452597824672054,Bypass
0.215347,0.232816,sfy.sfy_mcki,sfy,sfy_mcki,REG,sfy,bypass,12.617134736471376,Bypass
0.107417,0.1494,sfy.sfy_misc,sfy,sfy_misc,REG,sfy,bypass,19.084276397109328,Bypass
0.177408,0.202822,sfy.sfy_rockck,sfy,sfy_rockck,REG,sfy,bypass,29.283954260730923,Bypass
0.374151,0.293144,sfy.sfy_scotchman,sfy,sfy_scotchman,REG,sfy,bypass,10.346096284768302,Bypass
0.090029,0.185527,sfy.sfy_shadyck,sfy,sfy_shadyck,REG,sfy,bypass,56.139223081398605,Bypass
0.181639,0.212531,sfy.sfy_springck,sfy,sfy_springck,REG,sfy,bypass,29.72099886722094,Bypass
0.210802,0.222433,sfy_loga.sfy_mcki,sfy_loga,sfy_mcki,REG,sfy,bypass,9.16564501497754,Bypass
0.111806,0.12235,sfy_loga.sfy_misc,sfy_loga,sfy_misc,REG,sfy,bypass,8.286481320692547,Bypass
0.184644,0.192515,sfy_loga.sfy_rockck,sfy_loga,sfy_rockck,REG,sfy,bypass,18.486159184314147,Bypass
0.386998,0.318037,sfy_loga.sfy_scotchman,sfy_loga,sfy_scotchman,REG,sfy,bypass,16.433562969613483,Bypass
0.104622,0.177603,sfy_loga.sfy_shadyck,sfy_loga,sfy_shadyck,REG,sfy,bypass,45.34142800498183,Bypass
0.187315,0.206693,sfy_loga.sfy_springck,sfy_loga,sfy_springck,REG,sfy,bypass,18.923203790804163,Bypass
0.180942,0.216598,sfy_mcki.sfy_misc,sfy_mcki,sfy_misc,REG,sfy,bypass,11.797323587414807,Bypass
0.301019,0.301188,sfy_mcki.sfy_rockck,sfy_mcki,sfy_rockck,REG,sfy,bypass,21.997001451036407,Bypass
0.418292,0.418627,sfy_mcki.sfy_scotchman,sfy_mcki,sfy_scotchman,REG,sfy,bypass,12.598099881412802,Bypass
0.19008,0.228409,sfy_mcki.sfy_shadyck,sfy_mcki,sfy_shadyck,REG,sfy,bypass,48.852270271704086,Bypass
0.314756,0.324727,sfy_mcki.sfy_springck,sfy_mcki,sfy_springck,REG,sfy,bypass,22.434046057526427,Bypass
0.164117,0.183754,sfy_misc.sfy_rockck,sfy_misc,sfy_rockck,REG,sfy,bypass,14.391766485669113,Bypass
0.387418,0.298424,sfy_misc.sfy_scotchman,sfy_misc,sfy_scotchman,REG,sfy,bypass,19.06524154205075,Bypass
0.088572,0.168592,sfy_misc.sfy_shadyck,sfy_misc,sfy_shadyck,REG,sfy,bypass,41.24703530633679,Bypass
0.168122,0.213922,sfy_misc.sfy_springck,sfy_misc,sfy_springck,REG,sfy,bypass,14.828811092159128,Bypass
0.390868,0.365175,sfy_rockck.sfy_scotchman,sfy_rockck,sfy_scotchman,REG,sfy,bypass,29.26491940567235,Bypass
0.164967,0.196895,sfy_rockck.sfy_shadyck,sfy_rockck,sfy_shadyck,REG,sfy,bypass,26.855268820667675,Bypass
0.234577,0.240995,sfy_rockck.sfy_springck,sfy_rockck,sfy_springck,REG,sfy,bypass,0.43704460649001886,Bypass
0.462231,0.317148,sfy_scotchman.sfy_shadyck,sfy_scotchman,sfy_shadyck,REG,sfy,bypass,56.12018822634003,Bypass
0.400633,0.385745,sfy_scotchman.sfy_springck,sfy_scotchman,sfy_springck,REG,sfy,bypass,29.701964012162367,Bypass
0.161546,0.210637,sfy_shadyck.sfy_springck,sfy_shadyck,sfy_springck,REG,sfy,bypass,26.528492289211645,Bypass
0.179677,0.20321,nfy.nfy_slate_cgrav,nfy,nfy_slate_cgrav,U,nfy,bypass,45.52601371192376,Bypass
0.377756,0.264293,nfy.nfy_slate_onion,nfy,nfy_slate_onion,U,nfy,bypass,29.287776020041637,Bypass
0.351237,0.323638,nfy_slate_cgrav.nfy_slate_onion,nfy_slate_cgrav,nfy_slate_onion,U,nfy,bypass,20.253457631945007,Bypass
